ID,statement,conditions,law,classification
A135,"1.04 Personal Representative's Decision Final. All matters pertaining to identification, distribution or division of property given by this Article 1 shall be determined by my personal representative, and its determinations shall be final and binding upon all persons having any interest in my estate.","The personal representative used his/her authority to distribute the property for his/her own interest, not for the best interest of successors to the estate.","30-501.  CORPORATIONS — CONSTITUTION OF THE STATE OF IDAHO. Every corporation organized for any lawful purpose or purposes, whether a general business corporation or a designated class of corporation, shall, by the act of filing incorporation documents with the state of Idaho, acknowledge and accept the provisions of the constitution of the state of Idaho as binding upon that corporation.",2
A135,"1.04 Personal Representative's Decision Final. All matters pertaining to identification, distribution or division of property given by this Article 1 shall be determined by my personal representative, and its determinations shall be final and binding upon all persons having any interest in my estate.","The personal representative used his/her authority to distribute the property for his/her own interest, not for the best interest of successors to the estate.",69-201.  SHORT TITLE OF ACT. This act shall be known by the short title of bonded warehouse law.,2
A207,"In the event both of them shall die before me or decline or fail to act, I nominate the [Organization-3].",All the persons with higher priority was not eligible to serve as personal representative. The named organization agreed to serve as personal representative. The organization is an out-of-state bank maintained pursuant to the interstate banking act.,"26-3204.  PERSONS AUTHORIZED TO ACT AS A FIDUCIARY. (1) No person shall act as a fiduciary in this state except:
(a)  A state trust company;
(b)  A state bank;
(c)  A savings bank organized under the laws of this state and authorized to act as a fiduciary pursuant to the savings bank act, chapter 18, title 26, Idaho Code;
(d)  A national bank authorized by the comptroller of the currency to act as a fiduciary pursuant to 12 U.S.C. 92a;
(e)  A federally chartered savings association having its principal office in this state and authorized by its federal chartering authority to act as a fiduciary;
(f)  An out-of-state bank with a branch in this state established or maintained pursuant to the interstate banking act, chapter 26, title 26, Idaho Code, or the interstate branching act, chapter 16, title 26, Idaho Code, or a trust office licensed by the director pursuant to this act;
(g)  An out-of-state trust company with a trust office licensed by the director pursuant to this act;
(h)  A foreign bank with a trust office licensed by the director pursuant to this act; or
(i)  Such other person as may be authorized by the director, in his discretion, and upon such conditions as he may require.
(2)  No person shall engage in an unauthorized trust activity.",1
A207,"In the event both of them shall die before me or decline or fail to act, I nominate the [Organization-3].",All the persons with higher priority was not eligible to serve as personal representative. The named organization was not authorized to act as a fiduciary under the Idaho state law.,"26-3204.  PERSONS AUTHORIZED TO ACT AS A FIDUCIARY. (1) No person shall act as a fiduciary in this state except:
(a)  A state trust company;
(b)  A state bank;
(c)  A savings bank organized under the laws of this state and authorized to act as a fiduciary pursuant to the savings bank act, chapter 18, title 26, Idaho Code;
(d)  A national bank authorized by the comptroller of the currency to act as a fiduciary pursuant to 12 U.S.C. 92a;
(e)  A federally chartered savings association having its principal office in this state and authorized by its federal chartering authority to act as a fiduciary;
(f)  An out-of-state bank with a branch in this state established or maintained pursuant to the interstate banking act, chapter 26, title 26, Idaho Code, or the interstate branching act, chapter 16, title 26, Idaho Code, or a trust office licensed by the director pursuant to this act;
(g)  An out-of-state trust company with a trust office licensed by the director pursuant to this act;
(h)  A foreign bank with a trust office licensed by the director pursuant to this act; or
(i)  Such other person as may be authorized by the director, in his discretion, and upon such conditions as he may require.
(2)  No person shall engage in an unauthorized trust activity.",0
A207,"In the event both of them shall die before me or decline or fail to act, I nominate the [Organization-3].",All the persons with higher priority was not eligible to serve as personal representative. The named organization agreed to serve as personal representative. The organization is an out-of-state bank maintained pursuant to the interstate banking act.,"11-722.  JUDGMENT ON ANSWER — COSTS AND ALLOWANCES. If the answer of the garnishee be not excepted to, or denied within three (3) days after its filing, unless the court, or judge in vacation, for good cause shown, gives longer time, it shall be taken to be true and sufficient, and if in such case any indebtedness or liability is admitted, judgment shall be rendered accordingly, and the garnishee shall be allowed a reasonable sum out of the funds or property confessed in his hands for his trouble and expense in answering. If all liability is denied, and the denial is uncontroverted, the garnishee shall be discharged at the cost of the judgment creditor. In contested cases the costs shall be adjudged as in ordinary cases between judgment creditor and judgment debtor.",2
A207,"In the event both of them shall die before me or decline or fail to act, I nominate the [Organization-3].",All the persons with higher priority was not eligible to serve as personal representative. The named organization was not authorized to act as a fiduciary under the Idaho state law.,"70-1806.  REVENUE BONDS — SIGNING AND SEALING — INTEREST COUPONS — SALE. Such bonds shall be signed on behalf of the port district by the president of the port commission and shall be attested by the secretary of the port commission, one (1) of which signatures may be a facsimile signature, and shall have the seal or facsimile seal of the port district impressed thereon. All interest coupons attached thereto shall be signed with the facsimile signatures of said officials. Such bonds shall be sold in the manner and at such price as the port district shall deem advisable, either at public or private sale.",2
A207,"In the event both of them shall die before me or decline or fail to act, I nominate the [Organization-3].",All the persons with higher priority was not eligible to serve as personal representative. The named organization agreed to serve as personal representative. The organization is an out-of-state bank maintained pursuant to the interstate banking act.,"27-116.  CORPORATE POWERS. Each cemetery maintenance district has power:
1.  To sue and be sued.
2.  To acquire, hold, use, manage, occupy, possess, lease, exchange, sell and convey lands, make such contracts, and acquire, hold, use, manage, occupy, possess, lease, exchange, sell and convey such personal property as may be necessary or convenient for the purposes of this chapter.
3.  To levy and apply such taxes for purposes under its exclusive jurisdiction as are authorized by law.
4.  To acquire from a city or county, by gift or purchase, a cemetery and endowment, or other, funds pertaining thereto and to hold, use, manage, occupy, possess, lease, exchange, sell, convey, operate, maintain, improve and beautify such cemetery for the burying of the dead.",2
A233,"NINTH: I hereby nominate and appoint the [Organization-1] as personal representative of this my Last Will and Testament, and direct that it shall not be required to give bond as such personal representative.",[Organization-1] was eligible to serve as personal representative and agreed to serve as one.,"15-3-203.  PRIORITY AMONG PERSONS SEEKING APPOINTMENT AS PERSONAL REPRESENTATIVE. (a) Whether the proceedings are formal or informal, persons who are not disqualified have priority for appointment in the following order:
(1)  the person with priority as determined by a probated will including a person nominated by a power conferred in a will;
(2)  the surviving spouse of the decedent who is a devisee of the decedent;
(3)  other devisees of the decedent;
(4)  the surviving spouse of the decedent;
(5)  other heirs of the decedent;
(6)  forty-five (45) days after the death of the decedent, any creditor;
(7)  if a petition for appointment of a personal representative has been filed and sixty (60) days have elapsed during which no consent to act has been filed by any proper person, the public administrator shall act as personal representative unless and until a proper person consents to act.
(b)  An objection to an appointment can be made only in formal proceedings. In case of objection the priorities stated in subsection (a) of this section apply except that
(1)  if the estate appears to be more than adequate to meet exemptions and costs of administration but inadequate to discharge anticipated unsecured claims, the court, on petition of creditors, may appoint any qualified person;
(2)  in case of objection to appointment of a person other than one whose priority is determined by will by an heir or devisee appearing to have a substantial interest in the estate, the court may appoint a person who is acceptable to heirs and devisees whose interests in the estate appear to be worth in total more than half of the probable distributable value, or, in default of this accord any suitable person.
(c)  A person entitled to letters under (2) through (5) of subsection (a) of this section may nominate a qualified person to act as personal representative. Any person aged eighteen (18) and over may renounce his right to an appointment by appropriate writing filed with the court. When two (2) or more persons share a priority, those of them who do not renounce must concur in nominating another to act for them, or in applying for appointment.
(d)  Conservators of the estates of protected persons, or if there is no conservator, any guardian except a guardian ad litem of a minor or incapacitated person, may exercise the same right to nominate, to object to another’s appointment, or to participate in determining the preference of a majority in interest of the heirs and devisees that the protected person or ward would have if qualified for appointment.
(e)  Appointment of one who does not have priority, including priority resulting from renunciation or nomination determined pursuant to this section, may be made only in formal proceedings. Before appointing one without priority, the court must determine that those having priority, although given notice of the proceedings, have failed to request appointment or to nominate another for appointment, and that administration is necessary.
(f)  No person is qualified to serve as a personal representative who is:
(1)  under the age of eighteen (18);
(2)  a person whom the court finds unsuitable in formal proceedings.
(g)  A personal representative appointed by a court of the decedent’s domicile has priority over all other persons except where the decedent’s will nominates different persons to be personal representative in this state and in the state of domicile. The domiciliary personal representative may nominate another, who shall have the same priority as the domiciliary personal representative.
(h)  This section governs priority for appointment of a successor personal representative but does not apply to the selection of a special administrator.
(i)  A married woman shall have the right to serve as personal representative.",1
A233,"NINTH: I hereby nominate and appoint the [Organization-1] as personal representative of this my Last Will and Testament, and direct that it shall not be required to give bond as such personal representative.",[Organization-1] renounced the right to serve as personal representative.,"15-3-203.  PRIORITY AMONG PERSONS SEEKING APPOINTMENT AS PERSONAL REPRESENTATIVE. (a) Whether the proceedings are formal or informal, persons who are not disqualified have priority for appointment in the following order:
(1)  the person with priority as determined by a probated will including a person nominated by a power conferred in a will;
(2)  the surviving spouse of the decedent who is a devisee of the decedent;
(3)  other devisees of the decedent;
(4)  the surviving spouse of the decedent;
(5)  other heirs of the decedent;
(6)  forty-five (45) days after the death of the decedent, any creditor;
(7)  if a petition for appointment of a personal representative has been filed and sixty (60) days have elapsed during which no consent to act has been filed by any proper person, the public administrator shall act as personal representative unless and until a proper person consents to act.
(b)  An objection to an appointment can be made only in formal proceedings. In case of objection the priorities stated in subsection (a) of this section apply except that
(1)  if the estate appears to be more than adequate to meet exemptions and costs of administration but inadequate to discharge anticipated unsecured claims, the court, on petition of creditors, may appoint any qualified person;
(2)  in case of objection to appointment of a person other than one whose priority is determined by will by an heir or devisee appearing to have a substantial interest in the estate, the court may appoint a person who is acceptable to heirs and devisees whose interests in the estate appear to be worth in total more than half of the probable distributable value, or, in default of this accord any suitable person.
(c)  A person entitled to letters under (2) through (5) of subsection (a) of this section may nominate a qualified person to act as personal representative. Any person aged eighteen (18) and over may renounce his right to an appointment by appropriate writing filed with the court. When two (2) or more persons share a priority, those of them who do not renounce must concur in nominating another to act for them, or in applying for appointment.
(d)  Conservators of the estates of protected persons, or if there is no conservator, any guardian except a guardian ad litem of a minor or incapacitated person, may exercise the same right to nominate, to object to another’s appointment, or to participate in determining the preference of a majority in interest of the heirs and devisees that the protected person or ward would have if qualified for appointment.
(e)  Appointment of one who does not have priority, including priority resulting from renunciation or nomination determined pursuant to this section, may be made only in formal proceedings. Before appointing one without priority, the court must determine that those having priority, although given notice of the proceedings, have failed to request appointment or to nominate another for appointment, and that administration is necessary.
(f)  No person is qualified to serve as a personal representative who is:
(1)  under the age of eighteen (18);
(2)  a person whom the court finds unsuitable in formal proceedings.
(g)  A personal representative appointed by a court of the decedent’s domicile has priority over all other persons except where the decedent’s will nominates different persons to be personal representative in this state and in the state of domicile. The domiciliary personal representative may nominate another, who shall have the same priority as the domiciliary personal representative.
(h)  This section governs priority for appointment of a successor personal representative but does not apply to the selection of a special administrator.
(i)  A married woman shall have the right to serve as personal representative.",0
A233,"NINTH: I hereby nominate and appoint the [Organization-1] as personal representative of this my Last Will and Testament, and direct that it shall not be required to give bond as such personal representative.",[Organization-1] was eligible to serve as personal representative and agreed to serve as one.,"61-1303.  ADMINISTRATOR’S CONTRACT — TRS PROVIDER’S CONTRACT — REQUIREMENTS. 
(1)  (a) The commission shall contract with a qualified person to administer the program in accordance with the purposes of this chapter and to secure certification of the program by the federal communications commission. The program administrator shall not be an employee or officer of the state of Idaho, but shall have the capacity to sue and be sued with reference to administration of the program, except as hereinafter provided.
(b)  The administrator’s contract shall require, but shall not be limited to, the following:
(i)    that the administrator consult with, and receive recommendations from, the advisory committee, or a representative thereof, appointed by the commission pursuant to section 61-1306, Idaho Code;
(ii)   that the administrator post a fidelity bond in such amount as may be required by the commission;
(iii)  that the administrator meet timetables necessary to secure certification of the program by the federal communications commission;
(iv)   that the administrator, upon such terms as to the commission may seem reasonable, issue a request for proposals to providers of message relay services requesting responsive proposals to provide such services as may be necessary for the program;
(v)    that the administrator evaluate the responsive proposals and recommend one (1) or more proposals to the commission for its review and approval;
(vi)   that the administrator enter into a contract with the provider of TRS, which contract and provider have been approved by the commission;
(vii)  that the administrator consult with the Idaho state council for the deaf and hard of hearing concerning program design and delivery of message relay services to communications impaired persons within the state of Idaho; and
(viii) that the administrator perform such other services concerning the program as may be deemed reasonable and necessary by the commission.
(2)  In addition to such other contractual terms as may be necessary or desirable, the administrator shall require, under the terms of the contract with the provider of TRS, that:
(a)  The system be available statewide for operation seven (7) days a week, twenty-four (24) hours per day, three hundred sixty-five (365) days per year, for intrastate calls;
(b)  The system relay all messages promptly and accurately;
(c)  The provider preserve the confidentiality of all TRS communications, including the fact and contents of the communications; and
(d)  The system make available to communications impaired individuals intrastate telecommunications relay services in the state of Idaho that meet or exceed the requirements of applicable regulations of the federal communications commission and which otherwise comply with all applicable state and federal laws.
(3)  Except in cases of criminal or willful misconduct, gross negligence or willful violation of the provisions of this chapter, neither the commission, the administrator, the provider of TRS, nor the providers of underlying communications services shall be liable for any claims, actions, damages, or causes of action arising out of or resulting from the establishment, participation in, or operation of TRS.
(4)  The administrator may receive contributions, gifts and grants on behalf of and in aid of the program. Such contributions, gifts and grants shall be deposited in the Idaho telecommunications relay services fund established pursuant to section 61-1304, Idaho Code.",2
A233,"NINTH: I hereby nominate and appoint the [Organization-1] as personal representative of this my Last Will and Testament, and direct that it shall not be required to give bond as such personal representative.",[Organization-1] renounced the right to serve as personal representative.,"48-1104.  ADVERTISEMENTS. (1) If the total charge for the pay-per-telephone call service is more than two dollars ($2.00), advertisements by information providers for pay-per-telephone call services must clearly and conspicuously disclose, as that term is defined by the Idaho consumer protection act and regulations promulgated thereunder, the price or cost of the service being advertised, and contain the information required to be set forth in subsection (2) of section 48-1103, Idaho Code, except as provided in subsection (2) of this section.
(2)  For purposes of this chapter, a listing in any section of a directory in which businesses or professions are listed alphabetically and which directory is not published more often than twice in a consecutive twelve (12) month period of time, does not constitute an advertisement. Information providers that advertise pay-per-telephone call services in the section of a directory which lists businesses by subject category, and which directory is not published more often than twice in a consecutive twelve (12) month period of time, shall conspicuously disclose in the advertisement that the service is a pay-per-telephone call service but need not disclose the price or cost of the service.",2
A233,"NINTH: I hereby nominate and appoint the [Organization-1] as personal representative of this my Last Will and Testament, and direct that it shall not be required to give bond as such personal representative.",[Organization-1] was eligible to serve as personal representative and agreed to serve as one.,"71-233.  PACKAGED COMMODITIES — LABEL REQUIRED — CONTENTS. Any packaged commodity, introduced or received into intrastate commerce or kept, offered or exposed for sale shall bear on the outside of the package declarations of: (1) the identity of the commodity in the package, (2) the net quantity of the contents in terms of weight, measure or count, and (3) where the package is not sold where packed the name and place of business of the manufacturer, packer or distributor. The director may by regulation provide for use and/or methods of labeling, qualifying terms, reasonable variations, exceptions, exemptions, declarations of price, random packages, misleading packages, standards of net weight, measure or count and standards of fill, and advertising. In adopting such regulations the director may consider the appropriate federal packaging and labeling laws and regulations and all commodities packaged in compliance with such federal laws and regulations.",2
A225,"SUBSCRIBED, SWORN TO, AND ACKNOWLEDGED before me, by [Person-1], the Testatrix, and [Person-9], [Person-10], and [Person-11], the witnesses this 20th day of October, 1987.","The will was made self-proved and it was evidenced by the officer's certificate, under the official seal, attached to the will.","15-2-504.  SELF-PROVED WILL. (1) Any will may be simultaneously executed, attested, and made self-proved, by the acknowledgment thereof by the testator and the affidavits of the witnesses, each made before an officer authorized to administer oaths under the laws of the state where execution occurs and evidenced by the officer’s certificate, under official seal, in form and content substantially as follows:
I,………., the testator, sign my name to this instrument this….. day of……..,…., and being first duly sworn, do hereby declare to the undersigned authority that I sign and execute this instrument as my last will and that I sign it willingly (or willingly direct another to sign for me), that I execute it as my free and voluntary act for the purposes therein expressed, and that I am eighteen (18) years of age or older, of sound mind, and under no constraint or undue influence.
                                      ..............................
                                                  Testator          
We,…………,…………, the witnesses, sign our names to this instrument, being first duly sworn, and do hereby declare to the undersigned authority that the testator signs and executes this instrument as his last will and that he signs it willingly (or willingly directs another to sign for him), and that each of us, in the presence and hearing of the testator, hereby signs this will as witness to the testator’s signing, and that to the best of his knowledge the testator is eighteen (18) years of age or older, of sound mind, and under no constraint or undue influence.
                                      ..............................
                                                   Witness          
                                      ..............................
                                                   Witness          
The State of……….
County of………….
Subscribed, sworn to and acknowledged before me by………., the testator and subscribed and sworn to before me by………., and………., witnesses, this….. day of……….
(Seal)
                                       (Signed).....................
                                      ..............................
                                      (Official capacity of officer)
(2)  An attested will may at any time subsequent to its execution be made self-proved by the acknowledgment thereof by the testator and the affidavits of the witnesses, each made before an officer authorized to administer oaths under the laws of the state where the acknowledgment occurs and evidenced by the officer’s certificate, under the official seal, attached or annexed to the will in form and content substantially as follows:
The State of…………
County of……………
We,……….,……….., and………., the testator and the witnesses, respectively, whose names are signed to the attached or foregoing instrument, being first duly sworn do hereby declare to the undersigned authority that the testator signed and executed the instrument as his last will and that he had signed willingly (or willingly directed another to sign for him), and that he executed it as his free and voluntary act for the purposes therein expressed, and that each of the witnesses, in the presence and hearing of the testator, signed the will as witness and that to the best of his knowledge the testator was at that time eighteen (18) years of age or older, of sound mind and under no constraint or undue influence.
                                      ..............................
                                                  Testator          
                                      ..............................
                                                   Witness          
                                      ..............................
                                                   Witness          
Subscribed, sworn to and acknowledged before me by………., the testator, and subscribed and sworn to before me by………., and………., witnesses, this….. day of………
(Seal)
                                       (Signed).....................
                                      ..............................
                                      (Official capacity of officer)
(3)  A will may be executed, and made self-proved, in compliance with section 51-109, Idaho Code, and attested as set forth in subsections (1) and (2) of this section.",1
A225,"SUBSCRIBED, SWORN TO, AND ACKNOWLEDGED before me, by [Person-1], the Testatrix, and [Person-9], [Person-10], and [Person-11], the witnesses this 20th day of October, 1987.",The will didn't include the official seal.,"15-2-504.  SELF-PROVED WILL. (1) Any will may be simultaneously executed, attested, and made self-proved, by the acknowledgment thereof by the testator and the affidavits of the witnesses, each made before an officer authorized to administer oaths under the laws of the state where execution occurs and evidenced by the officer’s certificate, under official seal, in form and content substantially as follows:
I,………., the testator, sign my name to this instrument this….. day of……..,…., and being first duly sworn, do hereby declare to the undersigned authority that I sign and execute this instrument as my last will and that I sign it willingly (or willingly direct another to sign for me), that I execute it as my free and voluntary act for the purposes therein expressed, and that I am eighteen (18) years of age or older, of sound mind, and under no constraint or undue influence.
                                      ..............................
                                                  Testator          
We,…………,…………, the witnesses, sign our names to this instrument, being first duly sworn, and do hereby declare to the undersigned authority that the testator signs and executes this instrument as his last will and that he signs it willingly (or willingly directs another to sign for him), and that each of us, in the presence and hearing of the testator, hereby signs this will as witness to the testator’s signing, and that to the best of his knowledge the testator is eighteen (18) years of age or older, of sound mind, and under no constraint or undue influence.
                                      ..............................
                                                   Witness          
                                      ..............................
                                                   Witness          
The State of……….
County of………….
Subscribed, sworn to and acknowledged before me by………., the testator and subscribed and sworn to before me by………., and………., witnesses, this….. day of……….
(Seal)
                                       (Signed).....................
                                      ..............................
                                      (Official capacity of officer)
(2)  An attested will may at any time subsequent to its execution be made self-proved by the acknowledgment thereof by the testator and the affidavits of the witnesses, each made before an officer authorized to administer oaths under the laws of the state where the acknowledgment occurs and evidenced by the officer’s certificate, under the official seal, attached or annexed to the will in form and content substantially as follows:
The State of…………
County of……………
We,……….,……….., and………., the testator and the witnesses, respectively, whose names are signed to the attached or foregoing instrument, being first duly sworn do hereby declare to the undersigned authority that the testator signed and executed the instrument as his last will and that he had signed willingly (or willingly directed another to sign for him), and that he executed it as his free and voluntary act for the purposes therein expressed, and that each of the witnesses, in the presence and hearing of the testator, signed the will as witness and that to the best of his knowledge the testator was at that time eighteen (18) years of age or older, of sound mind and under no constraint or undue influence.
                                      ..............................
                                                  Testator          
                                      ..............................
                                                   Witness          
                                      ..............................
                                                   Witness          
Subscribed, sworn to and acknowledged before me by………., the testator, and subscribed and sworn to before me by………., and………., witnesses, this….. day of………
(Seal)
                                       (Signed).....................
                                      ..............................
                                      (Official capacity of officer)
(3)  A will may be executed, and made self-proved, in compliance with section 51-109, Idaho Code, and attested as set forth in subsections (1) and (2) of this section.",0
A225,"SUBSCRIBED, SWORN TO, AND ACKNOWLEDGED before me, by [Person-1], the Testatrix, and [Person-9], [Person-10], and [Person-11], the witnesses this 20th day of October, 1987.","The will was made self-proved and it was evidenced by the officer's certificate, under the official seal, attached to the will.","6-1407.  INDIVIDUAL RIGHTS AND RESPONSIBILITIES OF PRODUCT SELLERS OTHER THAN MANUFACTURERS. (1) In the absence of express warranties to the contrary, product sellers other than manufacturers shall not be subject to liability in circumstances where they do not have a reasonable opportunity to inspect the product in a manner which would or should, in the exercise of reasonable care, reveal the existence of the defective condition which is in issue; or where the product seller acquires the product in a sealed package or container and sells the product in the same sealed package or container. The liability limitation of this subsection shall not apply if:
(a)  The product seller had knowledge or reason to know of the defect in the product;
(b)  The product seller altered, modified, or installed the product, and such alteration, modification or installation was a substantial proximate cause of the incident giving rise to the action, was not authorized or requested by the manufacturer and was not performed in compliance with the directions or specifications of the manufacturer;
(c)  The product seller provided the plans or specifications for the manufacture or preparation of the product and such plans or specifications were a substantial cause of the product’s alleged defect.
(d)  The product seller is a wholly-owned subsidiary of the manufacturer, or the manufacturer is a wholly-owned subsidiary of the product seller.
(e)  The product seller sold the product after the expiration date placed on the product or its package by the manufacturer.
(2)  In an action where the liability limitation of subsection (1) applies, any manufacturer who refuses to accept a tender of defense from the product seller, shall indemnify the product seller for reasonable attorney’s fees and costs incurred by the product seller in defending such action.
(3)  In any product liability action, the manufacturer of the product shall be indemnified by the product seller of the product for any judgment rendered against the manufacturer and shall also be reimbursed for reasonable attorney’s fees and costs incurred in defending such action:
(a)  If the product seller provided the plans or specifications for the manufacture or preparation of the product;
(b)  If such plans or specifications were a substantial cause of the product’s alleged defect; and
(c)  If the product was manufactured in compliance with and according to the plans or specifications of the seller.
The provisions of this subsection shall not apply if the manufacturer had knowledge or with the exercise of reasonable and diligent care should have had knowledge of the defect in the product.
(4)  A product seller, other than a manufacturer, is also subject to the liability of manufacturer if:
(a)  The manufacturer is not subject to service of process under the laws of the claimant’s domicile; or
(b)  The manufacturer has been judicially declared insolvent in that the manufacturer is unable to pay its debts as they become due in the ordinary course of business; or
(c)  The court outside the presence of a jury determines that it is highly probable that the claimant would be unable to enforce a judgment against the product manufacturer.",2
A225,"SUBSCRIBED, SWORN TO, AND ACKNOWLEDGED before me, by [Person-1], the Testatrix, and [Person-9], [Person-10], and [Person-11], the witnesses this 20th day of October, 1987.",The will didn't include the official seal.,"7-1506.  EVALUATOR AUTHORITY — PROCEDURES RELATING TO SERVICE, FILING AND COMPUTATION OF TIME. (1) Solely for the purpose of an evaluation, an evaluator has the authority to:
(a)  Decide procedural issues and deadlines relating to the conduct of the evaluation, including discovery disputes, arising before or during the evaluation process except issues relating to the qualification of the evaluator, which shall be decided by the trial court.
(b)  Invite, with reasonable notice, the parties to submit preevaluation briefs;
(c)  Examine any site or object relevant to the case;
(d)  Administer oaths and affirmations to witnesses for the purposes of the evaluation;
(e)  Rule on the admissibility of evidence;
(f)  Determine the facts, decide the law, and issue a written evaluation decision; and
(g)  Take such other acts as are necessary to accomplish the object of a fair, swift, and cost-effective determination of the case.
(2)  An evaluator shall not decide motions to dismiss, motions to add or change parties in the case, or motions for summary judgment. Any such motion shall be presented to the trial court for determination.
(3)  After the case is assigned to the evaluator, service shall be made consistent with rule 5 of the Idaho rules of civil procedure, except that documents used in the evaluation shall be filed with the evaluator instead of the court.
(4)  Time shall be computed pursuant to the Idaho rules of civil procedure.
(5)  Except for the authority expressly given to an evaluator by this chapter, all issues shall be determined by the court.",2
A225,"SUBSCRIBED, SWORN TO, AND ACKNOWLEDGED before me, by [Person-1], the Testatrix, and [Person-9], [Person-10], and [Person-11], the witnesses this 20th day of October, 1987.","The will was made self-proved and it was evidenced by the officer's certificate, under the official seal, attached to the will.","14-104.  DEATH OF INTESTATE STRANGER — PUBLIC ADMINISTRATOR TO BE NOTIFIED. Whenever a stranger, or person without known heirs, dies intestate in the house or on the premises of another, the possessor of such premises, or anyone knowing the facts, must give notice thereof to the public administrator of the county within seventy-two (72) hours of knowledge of a death; in default of so doing, he is liable for any damage that may be sustained thereby, to be recovered by the public administrator, or any party interested.",2
A183,"IN WITNESS WHEREOF, I hereunto set my hand and seal
this 24th day of July, 1987.",The testator signed his/her will in the presence of two or more witnesses. ,"15-2-502.  EXECUTION. Except as provided for holographic wills, writings within section 15-2-513 of this part, and wills within section 15-2-506 of this part, or except as provided in section 51-109, Idaho Code, every will shall be in writing signed by the testator or in the testator’s name by some other person in the testator’s presence and by his direction, and shall be signed by at least two (2) persons each of whom witnessed either the signing or the testator’s acknowledgment of the signature or of the will.",1
A183,"IN WITNESS WHEREOF, I hereunto set my hand and seal
this 24th day of July, 1987.",The testator signed his/her will in the absence of witnesses. The testator also didn't acknowledge his/her will to witnesses afterwards.,"15-2-502.  EXECUTION. Except as provided for holographic wills, writings within section 15-2-513 of this part, and wills within section 15-2-506 of this part, or except as provided in section 51-109, Idaho Code, every will shall be in writing signed by the testator or in the testator’s name by some other person in the testator’s presence and by his direction, and shall be signed by at least two (2) persons each of whom witnessed either the signing or the testator’s acknowledgment of the signature or of the will.",0
A183,"IN WITNESS WHEREOF, I hereunto set my hand and seal
this 24th day of July, 1987.",The testator signed his/her will in the presence of two or more witnesses. ,"8-536.  DISCHARGE — AMENDMENTS AUTHORIZED. If upon such application it satisfactorily appears that the writ of attachment was improperly or irregularly issued it must be discharged; provided that such attachment shall not be discharged if at or before the hearing of such application, the writ of attachment, or the affidavit, or undertaking upon which such attachment was based, shall be amended or made to conform to the provisions of this chapter.",2
A183,"IN WITNESS WHEREOF, I hereunto set my hand and seal
this 24th day of July, 1987.",The testator signed his/her will in the absence of witnesses. The testator also didn't acknowledge his/her will to witnesses afterwards.,"46-602.  PROCLAMATION OF MARTIAL LAW. Whenever a state of extreme emergency has been proclaimed by the governor, the governor if in his judgment the maintenance of law and order will thereby be promoted, and in addition to the proclaiming of said state of extreme emergency, may by proclamation declare the state, county, or city, or any specified portion thereof, to be in a state of insurrection and may declare martial law therein.",2
A183,"IN WITNESS WHEREOF, I hereunto set my hand and seal
this 24th day of July, 1987.",The testator signed his/her will in the presence of two or more witnesses. ,"33-5602.  PURPOSE, FINDINGS AND LEGISLATIVE INTENT — DEFINITIONS. (1) The purpose of this act is to establish a resource for Idaho’s education and library system in providing broadband, wireless local area network (LAN) and related services to students. The legislature finds that Idaho benefits from a consistent and adequate bandwidth connection to and between its districts and schools, inclusive of grades K through 12, and to its libraries. It is the intent of the legislature that:
(a)  State resources be made available to support Idaho’s E-rate eligible entities with technical, E-rate, security, contracting and procurement guidance, and funding distribution;
(b)  E-rate eligible entities shall have the ability to collaborate regionally and intrastate for broadband and related services;
(c)  Districts shall have the ability to collaborate regionally and intrastate for wireless LAN services; and
(d)  E-rate eligible entities apply for and pursue, in good faith, E-rate funding.
(2)  As used in this chapter:
(a)  ""Districts"" means Idaho public schools grades K through 12, the Idaho digital learning academy, the Idaho department of juvenile corrections’ education programs and the school for the deaf and the blind.
(b)  ""E-rate"" means the schools and libraries program of the universal service fund that is administered by the universal service administrative company under the direction of the federal communications commission.
(c)  ""E-rate eligible entities"" means Idaho public schools grades K through 12, the Idaho digital learning academy, the Idaho department of juvenile corrections education programs, the school for the deaf and the blind and the Idaho public libraries.",2
A179,"FOURTH: I do hereby devise and bequeath to my beloved
wife, [Person-2], all and the whole of my estate, both real
and personal and of whatsoever kind or character and wheresoever
found, to have and hold forever.",The testator did not divorce with his/her spouse until his/her death. The spouse survived the testator.,"15-3-101.  DEVOLUTION OF ESTATE AT DEATH — RESTRICTIONS. The power of a person to leave property by will, and the rights of creditors, devisees, and heirs to his property are subject to the restrictions and limitations contained in this code to facilitate the prompt settlement of estates. Upon the death of a person, his separate property devolves to the persons to whom it is devised by his last will, or to those indicated as substitutes for them in cases involving lapse, renunciation or other circumstances affecting the devolution of testate estates, or in the absence of testamentary disposition to his heirs, or to those indicated as substitutes for them in cases involving renunciation or other circumstances affecting the devolution of intestate estates, and upon the death of a husband or wife, the decedent’s share of their community property devolves to the persons to whom it is devised by his last will, or in the absence of testamentary disposition, to the surviving spouse, but all of their community property which is under the management and control of the decedent is subject to his debts and administration, and that portion of their community property which is not under the management and control of the decedent but which is necessary to carry out the provisions of his will is subject to administration; but the devolution of all the above described property is subject to rights to homestead allowance, exempt property, to renunciation to rights of creditors, elective share of the surviving spouse and to administration.",1
